GROUP,TID,DESCRIPTION,FUNCTION,TIMEOUT,PARAM1,PARAM2,UNIT,LOW,HIGH,KEY,VAL,FAIL_COUNT
,,,,,,,,,,,,
GPIO_Pullup_1V8,GPIO_1_16_TO_1V8,,relay.relay,10000,GPIO_1_16_TO_1V8,CONNECT,,,,,,
GPIO_Pullup_1V8,GPIO_17_32_TO_1V8,,relay.relay,10000,GPIO_17_32_TO_1V8,CONNECT,,,,,,
,,,,,,,,,,,,
GPIO_1V8_Test,PP1V215_RCAM_WIDE_VDDL,,dmm.dmm,10000,PP1V215_RCAM_WIDE_VDDL,,mV,1700,1900,,,
GPIO_1V8_Test,PP1V215_RCAM_WIDE_VDDL_CONN,,dmm.dmm,10000,PP1V215_RCAM_WIDE_VDDL_CONN,,mV,1700,1900,,,
GPIO_1V8_Test,PP1V4_ADAMS1_VDDL,,dmm.dmm,10000,PP1V4_ADAMS1_VDDL,,mV,1700,1900,,,
,,,,,,,,,,,,
GPIO_1V8_Test,PP_TUNER_1V8_UAT_B2B,,dmm.dmm,10000,PP_TUNER_1V8_UAT_B2B,,mV,1700,1900,,,
GPIO_1V8_Test,PP1V8_ALWAYS,,dmm.dmm,10000,PP1V8_ALWAYS,,mV,1700,1900,,,